,date,content
57,20210114,기계학습 Ensemble기법
60,20210115,기계학습 강화학습
63,20210118,기계학습 강화학습2
66,20210119,딥러닝 기본 딥러닝 이해
69,20210120,딥러닝 기본 DNN
72,20210121,딥러닝 기본 DNN
75,20210122,딥러닝 기본 CNN
78,20210125,딥러닝 기본 CNN
81,20210126,딥러닝 기본 RNN
84,20210127,딥러닝 기본 RNN
87,20210128,딥러닝 기본 다양한 딥러닝 기법
90,20210129,딥러닝 기본 다양한 딥러닝 기법
93,20210201,자연어 처리 자연어 처리
96,20210202,자연어 처리 자연어 처리기술의 이해
99,20210203,자연어 처리 자연어처리 시스템의 이해
102,20210204,자연어 처리 기계학습과 자연어처리 시스템
105,20210205,자연어 처리 기계학습과 자연어처리 시스템
108,20210208,자연어 처리 자연어처리 오픈소스 프로젝트
111,20210209,자연어 처리 자연어처리 오픈소스 프로젝트
114,20210215,컴퓨터 비전 픽셀 데이터 처리를 위한 이미지 처리
117,20210216,컴퓨터 비전 픽셀 데이터 처리를 위한 이미지 처리
120,20210217,컴퓨터 비전 시각인지를 위한 딥러닝
123,20210218,컴퓨터 비전 시각인지를 위한 딥러닝
126,20210219,컴퓨터 비전 딥러닝 시각 인지 아키텍쳐 이해
129,20210222,컴퓨터 비전 딥러닝 시각 인지 아키텍쳐 이해
132,20210223,컴퓨터 비전 딥러닝 기반 영상처리 프로젝트
135,20210224,컴퓨터 비전 딥러닝 기반 영상처리 프로젝트
138,20210225,지능형 IoT 아두이노 플랫폼
141,20210226,지능형 IoT 타이젠 플랫폼
144,20210302,지능형 IoT 사물인터넷 통신
147,20210303,지능형 IoT 딥러닝 지능형 IoT
150,20210304,특강 특강
153,20210305,특강 특강
156,20210306,멘토링 멘토링
159,20210308,세미 프로젝트1 파이썬 응용프로젝트 계획
162,20210309,세미 프로젝트1 스케쥴링과 인프라 구축
165,20210310,세미 프로젝트1 프로젝트 시스템 설계
168,20210311,세미 프로젝트1 프로젝트 개발
171,20210312,세미 프로젝트1 프로젝트 테스트
174,20210313,멘토링 멘토링
177,20210316,세미 프로젝트2 추론탐색알고리즘 프로젝트 계획
180,20210317,세미 프로젝트2 스케쥴링과 인프라 구축
183,20210318,세미 프로젝트2 프로젝트 기획
186,20210319,세미 프로젝트2 프로젝트 시스템 설계
189,20210320,멘토링 멘토링
192,20210323,세미 프로젝트2 프로젝트 개발
195,20210324,세미 프로젝트2 프로젝트 개발
198,20210325,세미 프로젝트2 프로젝트 테스트
201,20210326,세미 프로젝트2 프로젝트 테스트
204,20210327,멘토링 멘토링
207,20210330,특강 특강
210,20210331,파이널 프로젝트 데이터분석 시각화 프로젝트 계획
213,20210401,파이널 프로젝트 스케줄링과 인프라 구축
216,20210402,파이널 프로젝트 프로젝트 기획
219,20210403,멘토링 멘토링
222,20210406,파이널 프로젝트 프로젝트 시스템 설계
225,20210407,파이널 프로젝트 프로젝트 시스템 설계
228,20210408,파이널 프로젝트 프로젝트 개발
231,20210409,파이널 프로젝트 프로젝트 개발
234,20210410,멘토링 멘토링
237,20210413,파이널 프로젝트 프로젝트 개발
240,20210414,파이널 프로젝트 프로젝트 개발
243,20210415,파이널 프로젝트 프로젝트 개발
246,20210416,파이널 프로젝트 프로젝트 테스트
249,20210417,멘토링 멘토링
252,20210420,파이널 프로젝트 프로젝트 테스트
255,20210422,기업연계 프로젝트 팀 빌딩과 프로젝트 계획
258,20210423,기업연계 프로젝트 스케쥴링과 인프라 구축
261,20210424,멘토링 멘토링
264,20210427,기업연계 프로젝트 프로젝트 기획
267,20210428,기업연계 프로젝트 프로젝트 기획
270,20210429,기업연계 프로젝트 프로젝트 시스템 설계
273,20210430,기업연계 프로젝트 프로젝트 시스템 설계
276,20210501,멘토링 멘토링
279,20210504,기업연계 프로젝트 프로젝트 시스템 설계
282,20210506,기업연계 프로젝트 프로젝트 시스템 설계
285,20210507,기업연계 프로젝트 프로젝트 개발
288,20210508,멘토링 멘토링
291,20210511,기업연계 프로젝트 프로젝트 개발
294,20210512,기업연계 프로젝트 프로젝트 개발
297,20210513,기업연계 프로젝트 프로젝트 개발
300,20210514,기업연계 프로젝트 프로젝트 개발
303,20210515,멘토링 멘토링
306,20210518,기업연계 프로젝트 프로젝트 개발
309,20210520,기업연계 프로젝트 프로젝트 개발
312,20210521,기업연계 프로젝트 프로젝트 개발
315,20210522,멘토링 멘토링
318,20210525,기업연계 프로젝트 프로젝트 개발
321,20210526,기업연계 프로젝트 프로젝트 개발
324,20210527,기업연계 프로젝트 프로젝트 테스트
327,20210528,기업연계 프로젝트 프로젝트 테스트
